Model,URL,Downloads,Downloads_All_Time,Likes,Languages_Supported,Zulu,Luo,Kikuyu,Yoruba,Igbo,Hausa,Amharic,Tigrinya,Sidoma,Oromo,Wolaytta
espnet/xeus,https://huggingface.co/espnet/xeus,38,869,124,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
facebook/mms-1b-all,https://huggingface.co/facebook/mms-1b-all,50792,6163399,141,8,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
facebook/mms-1b-fl102,https://huggingface.co/facebook/mms-1b-fl102,6867,728807,26,8,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
facebook/mms-1b-l1107,https://huggingface.co/facebook/mms-1b-l1107,488,58576,10,8,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
facebook/seamless-m4t-v2-large,https://huggingface.co/facebook/seamless-m4t-v2-large,272029,2244842,848,6,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No
facebook/seamless-m4t-medium,https://huggingface.co/facebook/seamless-m4t-medium,0,0,133,6,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No
facebook/seamless-m4t-large,https://huggingface.co/facebook/seamless-m4t-large,0,0,514,5,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No
MahmoudAshraf/mms-300m-1130-forced-aligner,https://huggingface.co/MahmoudAshraf/mms-300m-1130-forced-aligner,3509710,26943358,53,5,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No
johntsi/ZeroSwot-Large_asr-cv_en-to-200,https://huggingface.co/johntsi/ZeroSwot-Large_asr-cv_en-to-200,31,287,1,5,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No
johntsi/ZeroSwot-Medium_asr-mustc_en-to-200,https://huggingface.co/johntsi/ZeroSwot-Medium_asr-mustc_en-to-200,14,210,0,5,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No
johntsi/ZeroSwot-Medium_asr-cv_en-to-200,https://huggingface.co/johntsi/ZeroSwot-Medium_asr-cv_en-to-200,53,345,0,5,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No
johntsi/ZeroSwot-Large_asr-mustc_en-to-200,https://huggingface.co/johntsi/ZeroSwot-Large_asr-mustc_en-to-200,40,244,0,5,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No
openai/whisper-large-v3,https://huggingface.co/openai/whisper-large-v3,3585522,67241918,4528,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
openai/whisper-large-v3-turbo,https://huggingface.co/openai/whisper-large-v3-turbo,3479730,35591362,2442,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
openai/whisper-large-v2,https://huggingface.co/openai/whisper-large-v2,180101,54344500,1738,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
openai/whisper-large,https://huggingface.co/openai/whisper-large,74537,6264607,519,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
Systran/faster-whisper-large-v3,https://huggingface.co/Systran/faster-whisper-large-v3,687965,9763100,404,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
openai/whisper-small,https://huggingface.co/openai/whisper-small,1363594,95973272,403,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
openai/whisper-tiny,https://huggingface.co/openai/whisper-tiny,352739,7874215,331,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
openai/whisper-medium,https://huggingface.co/openai/whisper-medium,2137848,10167542,244,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
openai/whisper-base,https://huggingface.co/openai/whisper-base,768623,20972254,221,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
guillaumekln/faster-whisper-large-v2,https://huggingface.co/guillaumekln/faster-whisper-large-v2,110249,8942322,205,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
deepdml/faster-whisper-large-v3-turbo-ct2,https://huggingface.co/deepdml/faster-whisper-large-v3-turbo-ct2,249203,2347634,142,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
guillaumekln/faster-whisper-medium,https://huggingface.co/guillaumekln/faster-whisper-medium,13603,618536,35,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
guillaumekln/faster-whisper-small,https://huggingface.co/guillaumekln/faster-whisper-small,5484,559280,18,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
Systran/faster-whisper-base,https://huggingface.co/Systran/faster-whisper-base,777096,9287389,16,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
Systran/faster-whisper-small,https://huggingface.co/Systran/faster-whisper-small,387513,4799093,15,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
guillaumekln/faster-whisper-base,https://huggingface.co/guillaumekln/faster-whisper-base,8803,574998,10,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
neurlang/ipa-whisper-base,https://huggingface.co/neurlang/ipa-whisper-base,2017,2811,10,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
SVECTOR-CORPORATION/SPTK-2,https://huggingface.co/SVECTOR-CORPORATION/SPTK-2,100,143,9,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
mort666/faster-whisper-large-v2-th,https://huggingface.co/mort666/faster-whisper-large-v2-th,39,1064,8,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
xkeyC/whisper-large-v3-turbo-gguf,https://huggingface.co/xkeyC/whisper-large-v3-turbo-gguf,3226,4375,8,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
guillaumekln/faster-whisper-tiny,https://huggingface.co/guillaumekln/faster-whisper-tiny,1476,254800,6,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
guillaumekln/faster-whisper-large-v1,https://huggingface.co/guillaumekln/faster-whisper-large-v1,298,17166,5,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
danielus/ggml-whisper-models,https://huggingface.co/danielus/ggml-whisper-models,0,0,4,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
devasheeshG/whisper_large_v2_fp16_transformers,https://huggingface.co/devasheeshG/whisper_large_v2_fp16_transformers,16,1306,2,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
devasheeshG/whisper_medium_fp16_transformers,https://huggingface.co/devasheeshG/whisper_medium_fp16_transformers,53,534,2,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
aditii09/whisper_eng_asr,https://huggingface.co/aditii09/whisper_eng_asr,11,279,1,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
arminhaberl/faster-whisper-base,https://huggingface.co/arminhaberl/faster-whisper-base,51,783,1,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
Trendency/whisper-large-v3-hu,https://huggingface.co/Trendency/whisper-large-v3-hu,135,135,1,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
osanseviero/seamless-copy,https://huggingface.co/osanseviero/seamless-copy,15,123,0,3,Yes,No,No,No,Yes,No,No,No,No,Yes,No
arminhaberl/faster-whisper-large-v2,https://huggingface.co/arminhaberl/faster-whisper-large-v2,14,714,0,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
arminhaberl/faster-whisper-large-v1,https://huggingface.co/arminhaberl/faster-whisper-large-v1,13,686,0,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
PraveenJesu/openai-whisper-small-zoomrx-colab-2,https://huggingface.co/PraveenJesu/openai-whisper-small-zoomrx-colab-2,15,260,0,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
Sangramsing/whisper-medium,https://huggingface.co/Sangramsing/whisper-medium,32,299,0,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
Sangramsing/whisper-large,https://huggingface.co/Sangramsing/whisper-large,9,305,0,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
PraveenJesu/openai-whisper-small-zoomrx-v2,https://huggingface.co/PraveenJesu/openai-whisper-small-zoomrx-v2,14,242,0,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
keess/whisper-model-internal,https://huggingface.co/keess/whisper-model-internal,18,272,0,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
Sangramsing/whisper-tiny,https://huggingface.co/Sangramsing/whisper-tiny,8,263,0,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
arminhaberl/faster-whisper-tiny,https://huggingface.co/arminhaberl/faster-whisper-tiny,17,830,0,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
Sangramsing/whisper-base,https://huggingface.co/Sangramsing/whisper-base,10,272,0,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
arijitx/whisper-base-bn-trans,https://huggingface.co/arijitx/whisper-base-bn-trans,17,434,0,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
Sangramsing/whisper-small,https://huggingface.co/Sangramsing/whisper-small,14,271,0,3,No,No,No,Yes,No,Yes,Yes,No,No,No,No
